index,icon,category,x,y,width,height,u0,v0,u1,v1
0,aspect_ratio,01_Viewport,0,0,32,32,0.0,0.0,0.125,0.125
1,center_focus_strong,01_Viewport,32,0,32,32,0.125,0.0,0.25,0.125
2,grid_on,01_Viewport,64,0,32,32,0.25,0.0,0.375,0.125
3,layers,01_Viewport,96,0,32,32,0.375,0.0,0.5,0.125
4,mouse,01_Viewport,128,0,32,32,0.5,0.0,0.625,0.125
5,open_with,01_Viewport,160,0,32,32,0.625,0.0,0.75,0.125
6,pan_tool,01_Viewport,192,0,32,32,0.75,0.0,0.875,0.125
7,rotate_right,01_Viewport,224,0,32,32,0.875,0.0,1.0,0.125
8,zoom_in,01_Viewport,0,32,32,32,0.0,0.125,0.125,0.25
9,zoom_out,01_Viewport,32,32,32,32,0.125,0.125,0.25,0.25
10,pause,02_Runtime,64,32,32,32,0.25,0.125,0.375,0.25
11,play_arrow,02_Runtime,96,32,32,32,0.375,0.125,0.5,0.25
12,restart_alt,02_Runtime,128,32,32,32,0.5,0.125,0.625,0.25
13,stop,02_Runtime,160,32,32,32,0.625,0.125,0.75,0.25
14,more_vert,03_File_Edit,192,32,32,32,0.75,0.125,0.875,0.25
15,redo,03_File_Edit,224,32,32,32,0.875,0.125,1.0,0.25
16,refresh,03_File_Edit,0,64,32,32,0.0,0.25,0.125,0.375
17,save,03_File_Edit,32,64,32,32,0.125,0.25,0.25,0.375
18,save_as,03_File_Edit,64,64,32,32,0.25,0.25,0.375,0.375
19,undo,03_File_Edit,96,64,32,32,0.375,0.25,0.5,0.375
20,account_tree,04_Hierarchy_Browser,128,64,32,32,0.5,0.25,0.625,0.375
21,add,04_Hierarchy_Browser,160,64,32,32,0.625,0.25,0.75,0.375
22,add_box,04_Hierarchy_Browser,192,64,32,32,0.75,0.25,0.875,0.375
23,content_copy,04_Hierarchy_Browser,224,64,32,32,0.875,0.25,1.0,0.375
24,delete,04_Hierarchy_Browser,0,96,32,32,0.0,0.375,0.125,0.5
25,folder,04_Hierarchy_Browser,32,96,32,32,0.125,0.375,0.25,0.5
26,folder_open,04_Hierarchy_Browser,64,96,32,32,0.25,0.375,0.375,0.5
27,lock,04_Hierarchy_Browser,96,96,32,32,0.375,0.375,0.5,0.5
28,search,04_Hierarchy_Browser,128,96,32,32,0.5,0.375,0.625,0.5
29,view_in_ar,04_Hierarchy_Browser,160,96,32,32,0.625,0.375,0.75,0.5
30,visibility,04_Hierarchy_Browser,192,96,32,32,0.75,0.375,0.875,0.5
31,visibility_off,04_Hierarchy_Browser,224,96,32,32,0.875,0.375,1.0,0.5
32,animation,05_Assets,0,128,32,32,0.0,0.5,0.125,0.625
33,audiotrack,05_Assets,32,128,32,32,0.125,0.5,0.25,0.625
34,code,05_Assets,64,128,32,32,0.25,0.5,0.375,0.625
35,data_object,05_Assets,96,128,32,32,0.375,0.5,0.5,0.625
36,extension,05_Assets,128,128,32,32,0.5,0.5,0.625,0.625
37,gradient,05_Assets,160,128,32,32,0.625,0.5,0.75,0.625
38,image,05_Assets,192,128,32,32,0.75,0.5,0.875,0.625
39,inventory_2,05_Assets,224,128,32,32,0.875,0.5,1.0,0.625
40,movie,05_Assets,0,160,32,32,0.0,0.625,0.125,0.75
41,palette,05_Assets,32,160,32,32,0.125,0.625,0.25,0.75
42,text_fields,05_Assets,64,160,32,32,0.25,0.625,0.375,0.75
43,camera_alt,06_Components,96,160,32,32,0.375,0.625,0.5,0.75
44,crop_free,06_Components,128,160,32,32,0.5,0.625,0.625,0.75
45,light_mode,06_Components,160,160,32,32,0.625,0.625,0.75,0.75
46,science,06_Components,192,160,32,32,0.75,0.625,0.875,0.75
47,settings,06_Components,224,160,32,32,0.875,0.625,1.0,0.75
48,analytics,07_Dev_Tools,0,192,32,32,0.0,0.75,0.125,0.875
49,bug_report,07_Dev_Tools,32,192,32,32,0.125,0.75,0.25,0.875
50,build,07_Dev_Tools,64,192,32,32,0.25,0.75,0.375,0.875
51,check_circle,07_Dev_Tools,96,192,32,32,0.375,0.75,0.5,0.875
52,download,07_Dev_Tools,128,192,32,32,0.5,0.75,0.625,0.875
53,error,07_Dev_Tools,160,192,32,32,0.625,0.75,0.75,0.875
54,info,07_Dev_Tools,192,192,32,32,0.75,0.75,0.875,0.875
55,terminal,07_Dev_Tools,224,192,32,32,0.875,0.75,1.0,0.875
56,upload_file,07_Dev_Tools,0,224,32,32,0.0,0.875,0.125,1.0
57,warning,07_Dev_Tools,32,224,32,32,0.125,0.875,0.25,1.0
